code,SppCode,Sex,Number,ch
NMBS,PaiSki,m,169,00100000000
NMBS,ChFCor,m,170,00100000000
NMBS,ComWhi,m,171,00100000000
NMPN,CrRWhi,f,172,00100000000
NCCP,ChFCor,m,173,01000000000
NCCP,ChFCor,m,174,01100000000
NCCP,ChFCor,m,175,01000000000
NCCP,ChFCor,m,176,01000000000
NCCP,ChFCor,m,177,01000000000
NCCP,ChFCor,m,178,01000000000
NCCP,DtTWhi,m,179,01000000000
NCCP,ChFCor,m,180,01000000000
NCCP,ChFCor,m,181,01000000000
NCCP,ChFCor,m,182,01000000000
NCCP,ChFCor,f,183,01000000000
NCCP,ChFCor,m,184,01000000000
NCCP,ChFCor,m,185,01000000000
NCCP,ChFCor,m,186,01000000000
NCCP,ComBas,m,187,01000000000
NCCB,DtTWhi,m,188,01000000000
NCCB,DtTWhi,m,189,01000000000
NCCB,DtTWhi,m,190,01000000000
CT,ChFCor,m,191,01100000000
CLSA,CrRWhi,m,192,10000000000
CT,HudWhi,m,192,01000000000
CLSA,PaiSki,m,193,10000000000
CLSA,ChFCor,m,194,10000000000
HB,AmeEme,m,195,00010000000
HB,CrRWhi,m,196,00010000000
HB,CrRWhi,m,197,00010000000
HB,CrRWhi,m,198,00010000000
HB,CrRWhi,f,199,00010000000
HB,CrRWhi,m,200,00010000000
HB,CrRWhi,f,201,00010000000
HB,CrRWhi,m,202,00010000000
HB,CrRWhi,m,203,00010000000
HB,CrRWhi,f,204,00010000000
HB,CrRWhi,m,205,00010000000
HB,CrRWhi,f,206,00010000000
HB,CrRWhi,m,207,00010000000
HB,CrRWhi,m,208,00010000000
HB,CrRWhi,m,209,00010000000
HB,ChFCor,f,210,00010000000
HB,CrRWhi,m,211,00010000000
HB,CrRWhi,m,212,00010000000
HB,CrRWhi,f,213,00010000000
HB,CrRWhi,f,214,00010000000
HB,CrRWhi,m,215,00010000000
HB,CrRWhi,m,216,00010000000
HB,CrRWhi,m,217,00010000000
HB,AmeEme,m,218,00010000000
HB,ChFCor,m,219,00010000000
HB,CrRWhi,m,220,00010000000
HB,CrRWhi,f,221,00010000000
HB,CrRWhi,m,222,00010000000
HB,CrRWhi,m,223,00010000000
HB,ChFCor,m,224,00010000000
HB,CrRWhi,m,225,00010000000
HB,CrRWhi,m,226,00010000000
HB,CrRWhi,m,227,00010000000
HB,CrRWhi,m,228,00010000000
HB,AmeEme,m,229,00010000000
HB,CrRWhi,f,230,00010000000
HB,CrRWhi,f,231,00010000000
HB,CrRWhi,m,232,00010000000
HB,CrRWhi,m,233,00010000000
HB,CrRWhi,m,234,00010000000
HB,CrRWhi,m,235,00010000000
HB,CrRWhi,m,236,00010000000
HB,CrRWhi,m,237,00010000000
HB,CrRWhi,m,238,00010000000
HB,CrRWhi,m,239,00010000000
HB,CrRWhi,m,240,00010000000
HB,CrRWhi,m,241,00010000000
HB,CrRWhi,f,242,00010000000
HB,CrRWhi,f,243,00010000000
HB,CrRWhi,f,244,00010000000
HB,AmeEme,m,245,00010000000
CLSA,ChFCor,m,246,10000000000
CLSA,ChFCor,m,247,10000000000
CLSA,ChFCor,m,248,10000000000
CLSA,ChFCor,m,249,10000000000
CLSA,ChFCor,f,250,10000000000
CLSA,ChFCor,m,251,11000000000
CLSA,ChFCor,m,252,10000000000
NMBS,AmeEme,m,253,00010000000
NMBS,BeaBas,m,254,00010000000
NMBS,CrRWhi,m,255,00010000000
NMBS,AmeEme,m,256,00010000000
NMBS,DtTWhi,m,257,00010000000
NMBS,CrRWhi,m,258,00010000000
NMPS,PaiSki,f,259,00100000000
NMBS,DeSSpi,m,260,00001000000
NMBS,ChFCor,m,261,00001000000
NMBS,ChFCor,m,262,00001000000
NMBS,CrRWhi,m,263,00001101100
NMBS,DeSSpi,m,264,00001000000
NMBS,ChFCor,m,265,00001100000
NMBS,DeSSpi,m,266,00001000000
NMBS,AmeEme,m,267,00001000000
NMBS,ChFCor,m,268,00001000000
NMBS,AmeEme,m,269,00001000000
NMBS,CGrDar,m,270,00001000000
NMBS,ChFCor,m,271,00001000000
NMBS,AmeEme,m,272,00001000000
NMBS,AmeEme,m,273,00001000000
NMBS,CrRWhi,m,274,00001000000
NMBS,PaiSki,m,275,00001000000
NMBS,AmeEme,m,276,00001000000
NMBS,CrRWhi,m,277,00001000000
NMBS,ChFCor,m,278,00001100000
NMBS,CrRWhi,m,279,00001000000
NMBS,AmeEme,m,280,00001000000
NMBS,PaiSki,m,281,00001000000
NMBS,PaiSki,m,282,00001000000
NMBS,UniClu,m,283,00001000000
NMBS,CarSad,f,284,00001000000
NMBS,CarSad,m,285,00001000000
NMBS,CrRWhi,m,286,00001000000
NMBS,ChFCor,m,287,00001000000
NMBS,CrRWhi,m,288,00001000000
NMBS,CrRWhi,m,289,00001000000
NMBS,HudWhi,m,290,00001100000
NMBS,PaiSki,m,291,00001000000
NMBS,LanClu,m,292,00001000000
NMBS,CrRWhi,m,293,00001000000
NMBS,ChFCor,m,294,00001000000
NMBS,AmeEme,m,295,00001000000
NMBS,AmeEme,m,296,00001000000
NMBS,AmeEme,m,297,00001000000
NMBS,ChFCor,m,298,00001100000
NMBS,AmeEme,m,299,00001000000
