location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
HB,ChFCor,m,224,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,226,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,227,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,228,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,AmeEme,m,229,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,f,230,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,f,231,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,232,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,233,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,234,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,235,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,236,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,237,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,238,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,239,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,240,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,241,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,f,242,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,f,244,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,AmeEme,m,245,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,409,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,ComWhi,m,410,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,ChFCor,m,411,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,412,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,f,413,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,414,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,415,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,416,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,417,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,418,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,419,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,420,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,AmeEme,m,421,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,f,422,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,423,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,f,424,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,f,425,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,426,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
HB,CrRWhi,m,427,16-Jun-18,0,0,0,0,1,0,0,0,0,0,0
