location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,
NCCB,BeaBas,m,76,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCB,ComWhi,m,77,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCB,BeaBas,m,78,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCB,ComWhi,m,79,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCB,ChFCor,m,80,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCB,BeaBas,m,81,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCB,PaiSki,m,82,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCP,BeaBas,m,83,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCP,BeaBas,m,84,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCP,BeaBas,m,85,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCP,BeaBas,m,86,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
NCCP,BeaBas,m,87,25-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,88,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,89,28-May-18,1,1,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,90,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,91,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,92,28-May-18,1,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,93,28-May-18,1,1,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,94,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,95,28-May-18,1,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,96,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,97,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,98,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,99,28-May-18,1,0,1,1,0,0,0,0,0,0,0,
CT,HudWhi,m,100,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,101,28-May-18,1,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,102,28-May-18,1,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,103,28-May-18,1,0,1,0,0,0,0,0,0,0,0,
CT,HudWhi,m,104,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,105,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,f,106,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,107,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,108,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,109,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,110,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,111,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,AmeEme,m,112,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,BeaBas,m,113,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,114,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,115,28-May-18,1,0,1,0,1,0,0,0,0,0,0,
CT,DtTWhi,m,116,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,117,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,118,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
CT,HudWhi,m,119,28-May-18,1,0,0,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,120,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,121,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,AmeEme,m,122,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,123,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,124,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,125,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,126,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,127,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,128,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,129,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,130,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,131,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,132,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,133,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,134,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,135,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,136,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,137,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,138,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,139,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,140,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,141,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,142,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,143,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,144,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,145,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,146,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,f,147,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
HB,CrRWhi,m,148,28-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMPS,LanClu,m,150,29-May-18,0,1,0,0,0,0,0,0,0,0,0,
NMBS,ChFCor,m,151,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,ChFCor,m,152,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,CarSad,m,153,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,154,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,ChFCor,m,155,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,156,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,ComWhi,m,157,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,ChFCor,m,158,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,AmeEme,m,160,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,BeaBas,m,161,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,163,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,164,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,165,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,167,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,168,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,PaiSki,m,169,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,ChFCor,m,170,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMBS,ComWhi,m,171,29-May-18,0,0,1,0,0,0,0,0,0,0,0,
NMPN,CrRWhi,f,172,4-Jun-18,0,0,1,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,173,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0,
NCCP,ChFCor,m,174,4-Jun-18,0,1,1,0,0,0,0,0,0,0,0,
