Location,SppCode,Sex,Number,Date
HB,CrRWhi,m,142,20-Jun-18
HB,CrRWhi,m,143,21-Jun-18
HB,CrRWhi,m,144,22-Jun-18
HB,CrRWhi,f,145,3-Jun-18
HB,CrRWhi,m,146,23-Jun-18
HB,CrRWhi,f,147,4-Jun-18
HB,CrRWhi,m,148,24-Jun-18
NMPS,LanClu,m,150,29-May-18
NMBS,ChFCor,m,151,29-May-18
NMBS,ChFCor,m,152,29-May-18
NMBS,CarSad,m,153,29-May-18
NMBS,PaiSki,m,154,29-May-18
NMBS,ChFCor,m,155,29-May-18
NMBS,PaiSki,m,156,29-May-18
NMBS,ComWhi,m,157,29-May-18
NMBS,ChFCor,m,158,29-May-18
NMBS,ChFCor,m,159,29-May-18
NMBS,AmeEme,m,160,29-May-18
NMBS,BeaBas,m,161,29-May-18
NMBS,ChFCor,m,162,29-May-18
NMBS,PaiSki,m,163,29-May-18
NMBS,PaiSki,m,164,29-May-18
NMBS,PaiSki,m,165,29-May-18
NMBS,PaiSki,m,166,29-May-18
NMBS,PaiSki,m,167,29-May-18
NMBS,PaiSki,m,168,29-May-18
NMBS,PaiSki,m,169,29-May-18
NMBS,ChFCor,m,170,29-May-18
NMBS,ComWhi,m,171,29-May-18
NMPN,CrRWhi,f,172,4-Jun-18
NCCP,ChFCor,m,173,4-Jun-18
NCCP,ChFCor,m,174,4-Jun-18
NCCP,ChFCor,m,174,14-Jun-18
NCCP,ChFCor,m,175,4-Jun-18
NCCP,ChFCor,m,176,4-Jun-18
NCCP,ChFCor,m,177,4-Jun-18
NCCP,ChFCor,m,178,4-Jun-18
NCCP,DtTWhi,m,179,4-Jun-18
NCCP,ChFCor,m,180,4-Jun-18
NCCP,ChFCor,m,181,4-Jun-18
NCCP,ChFCor,m,182,4-Jun-18
NCCP,ChFCor,f,183,4-Jun-18
NCCP,ChFCor,m,184,4-Jun-18
NCCP,ChFCor,m,185,4-Jun-18
NCCP,ChFCor,m,186,4-Jun-18
NCCP,ComBas,m,187,4-Jun-18
NCCB,DtTWhi,m,188,4-Jun-18
NCCB,DtTWhi,m,189,4-Jun-18
NCCB,DtTWhi,m,190,4-Jun-18
CT,ChFCor,m,191,4-Jun-18
CT,ChFCor,m,191,12-Jun-18
CLSA,CrRWhi,m,192,7-Jun-18
CT,HudWhi,m,192,4-Jun-18
CLSA,PaiSki,m,193,7-Jun-18
CLSA,ChFCor,m,194,7-Jun-18
HB,AmeEme,m,195,7-Jun-18
HB,CrRWhi,m,196,7-Jun-18
HB,CrRWhi,m,197,7-Jun-18
HB,CrRWhi,m,198,7-Jun-18
HB,CrRWhi,f,199,7-Jun-18
HB,CrRWhi,m,200,7-Jun-18
HB,CrRWhi,f,201,7-Jun-18
HB,CrRWhi,m,202,7-Jun-18
HB,CrRWhi,m,203,7-Jun-18
HB,CrRWhi,f,204,7-Jun-18
HB,CrRWhi,m,205,7-Jun-18
HB,CrRWhi,f,206,7-Jun-18
HB,CrRWhi,m,207,7-Jun-18
HB,CrRWhi,m,208,7-Jun-18
HB,CrRWhi,m,209,7-Jun-18
HB,ChFCor,f,210,7-Jun-18
HB,CrRWhi,m,211,7-Jun-18
HB,CrRWhi,m,212,7-Jun-18
HB,CrRWhi,f,213,7-Jun-18
HB,CrRWhi,f,214,7-Jun-18
HB,CrRWhi,m,215,7-Jun-18
HB,CrRWhi,m,216,7-Jun-18
HB,CrRWhi,m,217,7-Jun-18
HB,AmeEme,m,218,7-Jun-18
HB,ChFCor,m,219,7-Jun-18
HB,CrRWhi,m,220,7-Jun-18
HB,CrRWhi,f,222,7-Jun-18
HB,CrRWhi,m,221,7-Jun-18
HB,CrRWhi,m,223,7-Jun-18
HB,ChFCor,m,224,7-Jun-18
HB,CrRWhi,m,225,7-Jun-18
HB,CrRWhi,m,226,7-Jun-18
HB,CrRWhi,m,227,7-Jun-18
HB,CrRWhi,m,228,7-Jun-18
HB,AmeEme,m,229,7-Jun-18
HB,CrRWhi,f,230,7-Jun-18
HB,CrRWhi,f,231,7-Jun-18
HB,CrRWhi,m,232,7-Jun-18
HB,CrRWhi,m,233,7-Jun-18
HB,CrRWhi,m,234,7-Jun-18
HB,CrRWhi,m,235,7-Jun-18
HB,CrRWhi,m,236,7-Jun-18
HB,CrRWhi,m,237,7-Jun-18
HB,CrRWhi,m,238,7-Jun-18
HB,CrRWhi,m,239,7-Jun-18
HB,CrRWhi,m,240,7-Jun-18
HB,CrRWhi,m,241,7-Jun-18
HB,CrRWhi,f,242,7-Jun-18
HB,CrRWhi,f,243,7-Jun-18
HB,CrRWhi,f,244,7-Jun-18
HB,AmeEme,m,245,7-Jun-18
CLSA,ChFCor,m,246,7-Jun-18
CLSA,ChFCor,m,247,7-Jun-18
CLSA,ChFCor,m,248,7-Jun-18
CLSA,ChFCor,m,249,7-Jun-18
CLSA,ChFCor,f,250,7-Jun-18
CLSA,ChFCor,m,251,7-Jun-18
CLSA,ChFCor,m,251,15-Jun-18
CLSA,ChFCor,m,252,7-Jun-18
NMBS,AmeEme,m,253,7-Jun-18
NMBS,BeaBas,m,254,7-Jun-18
NMBS,CrRWhi,m,255,7-Jun-18
NMBS,AmeEme,m,256,7-Jun-18
NMBS,DtTWhi,m,257,7-Jun-18
NMBS,CrRWhi,m,258,7-Jun-18
NMPS,PaiSki,f,259,9-Jun-18
NMBS,DeSSpi,m,260,9-Jun-18
NMBS,ChFCor,m,261,9-Jun-18
NMBS,ChFCor,m,262,9-Jun-18
NMBS,CrRWhi,m,263,9-Jun-18
NMBS,CrRWhi,m,263,15-Jun-18
NMBS,CrRWhi,m,263,9-Jul-18
NMBS,CrRWhi,m,263,10-Jul-18
NMBS,DeSSpi,m,264,9-Jun-18
